                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6959,                  11.25,                0.71091,                  3.163,                 2.0206,                0.81529,                0.66228,                0.83214,                0.48199,                      0,                      0,                      0,                      0,                 1.2984,                 11.161,                0.71602,                  2.515,                 1.8641,              0.0001667,              0.0001667,              0.0001667
                      2,                 0.9448,                 11.029,                0.71172,                 1.4628,                 1.4064,                0.98692,                      1,                  0.995,                0.81225,                      0,                      0,                      0,                      0,                0.72393,                 11.037,                0.72452,                 1.5869,                 1.3941,             0.00034834,             0.00034834,             0.00034834
                      3,                0.73723,                 10.737,                0.70562,                0.93808,                 1.2472,                0.99585,                      1,                  0.995,                0.78671,                      0,                      0,                      0,                      0,                0.88724,                 10.934,                 0.6929,                 1.4462,                 1.5856,             0.00052816,             0.00052816,             0.00052816
                      4,                0.73215,                 10.486,                0.68483,                0.88415,                 1.2486,                    0.9,                    0.9,                0.92441,                0.69501,                      0,                      0,                      0,                      0,                0.81712,                 10.224,                0.63319,                 1.9659,                 1.5645,             0.00070617,             0.00070617,             0.00070617
                      5,                0.73899,                 10.186,                0.66904,                0.82819,                 1.2533,                0.97511,                      1,                0.99451,                0.78731,                      0,                      0,                      0,                      0,                0.80571,                 10.072,                0.55336,                 1.2388,                 1.5025,             0.00088236,             0.00088236,             0.00088236
                      6,                0.71784,                 9.8504,                0.64778,                0.78451,                 1.2075,                0.99782,                      1,                  0.995,                0.84013,                      0,                      0,                      0,                      0,                0.74171,                 10.016,                0.48839,                 1.0057,                 1.4895,              0.0010567,              0.0010567,              0.0010567
                      7,                0.69354,                 9.7455,                 0.6322,                 0.7191,                 1.1914,                0.97378,                      1,                  0.995,                0.81135,                      0,                      0,                      0,                      0,                0.83839,                 10.442,                0.40625,                 1.2418,                 1.7078,              0.0012293,              0.0012293,              0.0012293
                      8,                0.69852,                 9.6246,                0.62385,                0.70781,                 1.1925,                0.95223,                0.99676,                0.99405,                0.66532,                      0,                      0,                      0,                      0,                 1.1495,                  11.04,                0.23088,                 1.6013,                 2.0261,                 0.0014,                 0.0014,                 0.0014
                      9,                0.70998,                 9.6319,                0.62754,                0.68392,                 1.1909,                0.51058,                0.99113,                0.96257,                0.76935,                      0,                      0,                      0,                      0,                0.88318,                 11.076,                0.21641,                  2.867,                 1.5519,               0.001569,               0.001569,               0.001569
                     10,                 0.7115,                 9.4533,                0.58816,                0.70766,                  1.229,                 0.5658,                    0.9,                 0.8968,                0.64826,                      0,                      0,                      0,                      0,                0.84834,                 9.9707,                 0.2494,                  1.888,                 1.6199,              0.0015927,              0.0015927,              0.0015927
                     11,                0.74556,                   9.34,                0.62673,                0.67159,                 1.2487,                0.96248,                      1,                0.99256,                0.79848,                      0,                      0,                      0,                      0,                0.72749,                 9.7585,                0.28216,                 1.0875,                 1.4198,              0.0015927,              0.0015927,              0.0015927
                     12,                0.72747,                 9.3733,                0.59378,                0.65356,                  1.241,                0.99694,                      1,                  0.995,                0.81158,                      0,                      0,                      0,                      0,                0.72723,                 9.7586,                0.30357,                  0.747,                 1.5355,              0.0015845,              0.0015845,              0.0015845
                     13,                0.65471,                 8.9443,                 0.5494,                0.60764,                 1.1521,                 0.9976,                      1,                  0.995,                0.86167,                      0,                      0,                      0,                      0,                0.70292,                 9.5245,                0.28904,                0.75892,                 1.5227,              0.0015762,              0.0015762,              0.0015762
                     14,                0.69478,                 8.9431,                0.58947,                0.63933,                 1.2001,                      1,                  0.975,                  0.985,                 0.8416,                      0,                      0,                      0,                      0,                0.72782,                 9.7089,                0.30089,                 1.0617,                 1.4189,               0.001568,               0.001568,               0.001568
                     15,                0.68849,                 9.0683,                 0.5829,                0.60223,                 1.1902,                0.99814,                      1,                  0.995,                0.84258,                0.02972,                  0.025,                0.01266,                0.00127,                0.66909,                 8.9284,                 0.2913,                0.70927,                 1.3139,              0.0015597,              0.0015597,              0.0015597
                     16,                0.66399,                 8.6542,                0.59835,                0.58575,                 1.1765,                0.99594,                      1,                  0.995,                0.83842,                0.07975,                  0.075,                0.03586,                0.00422,                0.67727,                 8.6094,                0.33506,                0.61045,                 1.2857,              0.0015515,              0.0015515,              0.0015515
                     17,                0.63437,                 8.5423,                0.58596,                0.55646,                 1.1682,                0.97448,                      1,                0.99378,                0.86399,                0.02498,                  0.025,                0.00105,                0.00042,                0.62109,                 8.7949,                0.31056,                0.64487,                 1.2201,              0.0015432,              0.0015432,              0.0015432
                     18,                0.69018,                 8.3443,                0.57116,                  0.576,                 1.2056,                0.99796,                      1,                  0.995,                0.86063,                 0.0268,                  0.025,                0.00126,                0.00025,                0.57905,                 9.1404,                0.27862,                 0.6114,                 1.1961,               0.001535,               0.001535,               0.001535
                     19,                0.63268,                 8.4197,                0.54562,                 0.5387,                 1.1681,                0.99827,                      1,                  0.995,                 0.8837,                0.09982,                    0.1,                0.05268,                0.00655,                0.58173,                 8.5913,                0.32043,                0.54208,                 1.2397,              0.0015267,              0.0015267,              0.0015267
                     20,                0.63915,                 8.5392,                  0.567,                0.53269,                 1.1707,                0.99785,                      1,                  0.995,                0.86143,                0.10103,                    0.1,                0.01511,                0.00322,                 0.6157,                  8.576,                0.29588,                0.60073,                 1.2333,              0.0015185,              0.0015185,              0.0015185
                     21,                0.63769,                 8.2204,                0.55149,                 0.5248,                 1.1792,                0.99833,                      1,                  0.995,                0.81807,                0.00059,                  0.025,                0.00031,                  3e-05,                0.73451,                 8.9731,                0.27725,                0.54555,                 1.4197,              0.0015102,              0.0015102,              0.0015102
                     22,                  0.656,                 8.2546,                0.54078,                0.53362,                 1.1714,                0.97389,                      1,                  0.995,                0.83454,                      0,                      0,                      0,                      0,                0.68349,                 8.7873,                0.35487,                0.67682,                 1.3621,               0.001502,               0.001502,               0.001502
                     23,                0.63504,                 8.4747,                0.55555,                0.53841,                 1.1399,                0.97544,                      1,                  0.995,                0.87312,                0.06926,                  0.075,                0.02681,                0.00719,                0.59849,                 8.2725,                0.23189,                0.51676,                 1.2626,              0.0014937,              0.0014937,              0.0014937
                     24,                0.64452,                 8.2217,                0.51181,                0.53903,                 1.1484,                      1,                0.99219,                  0.995,                0.88166,                 0.0518,                   0.05,                0.01405,                0.00234,                0.54616,                 8.2712,                0.27625,                0.47654,                 1.1227,              0.0014855,              0.0014855,              0.0014855
                     25,                0.60198,                  7.727,                0.51911,                0.50272,                 1.1406,                0.99552,                      1,                  0.995,                0.88895,                0.07468,                  0.075,                0.02052,                0.00305,                0.54525,                 8.0169,                0.24546,                0.46496,                 1.1374,              0.0014772,              0.0014772,              0.0014772
                     26,                 0.6616,                  7.876,                0.51662,                0.53493,                 1.1576,                0.99823,                      1,                  0.995,                 0.8477,                0.05607,                   0.05,                0.01959,                0.00278,                0.64057,                 8.4653,                0.30726,                0.45288,                 1.2855,               0.001469,               0.001469,               0.001469
                     27,                0.64273,                 7.8341,                0.50733,                 0.4897,                 1.1525,                0.99822,                      1,                  0.995,                0.87712,                0.06712,                   0.05,                0.01554,                0.00405,                0.55641,                 8.3838,                0.33593,                0.53345,                 1.1668,              0.0014607,              0.0014607,              0.0014607
                     28,                0.58439,                 7.7303,                 0.5022,                 0.4852,                 1.1041,                0.99835,                      1,                  0.995,                 0.8598,                  0.125,                  0.125,                0.03437,                0.01205,                0.60521,                 7.9315,                0.28693,                 0.4672,                  1.171,              0.0014525,              0.0014525,              0.0014525
                     29,                0.59404,                 7.4019,                0.50072,                0.47874,                 1.1218,                0.99795,                      1,                  0.995,                  0.836,                0.06012,                  0.075,                 0.0125,                 0.0037,                0.72792,                 8.8589,                0.33442,                0.52684,                 1.3788,              0.0014442,              0.0014442,              0.0014442
                     30,                0.62286,                 7.6838,                0.49785,                 0.5027,                 1.1439,                0.99741,                      1,                  0.995,                0.85068,                0.02515,                  0.025,                0.00217,                0.00043,                0.60038,                 9.4928,                0.26941,                0.47706,                 1.2303,               0.001436,               0.001436,               0.001436
                     31,                0.59607,                 7.8449,                0.51224,                0.50269,                 1.1158,                0.99532,                      1,                  0.995,                0.83089,                0.12511,                  0.125,                0.04449,                0.01263,                0.64025,                 8.2201,                 0.1743,                0.69019,                 1.2915,              0.0014277,              0.0014277,              0.0014277
                     32,                0.59685,                 7.6667,                0.48473,                 0.4964,                 1.1201,                 0.9984,                      1,                  0.995,                0.86166,                0.18583,                  0.125,                0.08848,                0.01396,                0.56846,                 8.1764,                0.17526,                0.43656,                 1.2854,              0.0014195,              0.0014195,              0.0014195
                     33,                0.56014,                 7.4937,                0.50796,                0.47806,                 1.1159,                0.99782,                      1,                  0.995,                0.90394,                0.10574,                   0.05,                0.04837,                0.01593,                0.59552,                  8.359,                0.20446,                0.46091,                 1.2744,              0.0014112,              0.0014112,              0.0014112
                     34,                0.52784,                 7.7439,                 0.4683,                0.44522,                 1.0886,                0.99652,                      1,                  0.995,                0.88598,                0.05084,                   0.05,                0.01108,                0.00371,                 0.5585,                 8.0313,                0.22475,                0.44454,                 1.1403,              0.0014029,              0.0014029,              0.0014029
                     35,                0.56313,                 7.3431,                0.47415,                0.44616,                 1.1045,                0.99714,                      1,                  0.995,                0.89996,                0.12466,                  0.125,                0.03055,                0.00747,                0.44508,                 7.7813,                0.24439,                 0.3819,                  1.051,              0.0013947,              0.0013947,              0.0013947
                     36,                 0.5504,                 7.0396,                0.46517,                0.44198,                 1.0908,                0.99732,                      1,                  0.995,                0.91028,                0.13288,                  0.125,                0.05077,                  0.012,                  0.419,                 7.7298,                0.26147,                0.38076,                 1.0064,              0.0013864,              0.0013864,              0.0013864
                     37,                0.55088,                  7.563,                0.46453,                0.45381,                 1.1127,                0.99657,                      1,                  0.995,                0.86923,                0.13564,                  0.125,                0.03784,                0.01427,                0.47696,                 7.8192,                 0.2621,                0.43151,                 1.0647,              0.0013782,              0.0013782,              0.0013782
                     38,                0.57331,                 7.2054,                0.47554,                0.46131,                 1.1254,                0.99847,                      1,                  0.995,                0.85422,                0.06248,                   0.05,                 0.0087,                0.00254,                0.63659,                 8.0237,                0.23044,                0.44065,                 1.2386,              0.0013699,              0.0013699,              0.0013699
                     39,                0.57791,                 7.4508,                0.45954,                0.46882,                 1.1259,                0.94676,                      1,                0.99155,                0.87516,                0.04066,                   0.05,                0.01234,                0.00276,                0.54143,                 7.9531,                0.22506,                0.51893,                 1.1462,              0.0013617,              0.0013617,              0.0013617
                     40,                0.59643,                  7.203,                0.45011,                0.47772,                 1.1312,                0.99847,                      1,                  0.995,                0.90958,                0.10049,                    0.1,                 0.0203,                0.00758,                 0.4918,                 7.7525,                0.24828,                0.38607,                 1.0817,              0.0013534,              0.0013534,              0.0013534
                     41,                0.56525,                 7.5039,                0.44891,                0.45755,                 1.1209,                 0.9985,                      1,                  0.995,                0.91627,                0.10224,                    0.1,                 0.0229,                0.00761,                0.47781,                 7.7951,                 0.2491,                0.37537,                 1.0828,              0.0013452,              0.0013452,              0.0013452
                     42,                0.56218,                 7.2497,                0.45107,                0.46251,                 1.1038,                0.99665,                      1,                  0.995,                0.90417,                0.12478,                  0.125,                0.03407,                0.01175,                0.50773,                 7.5873,                0.20564,                0.47788,                    1.1,              0.0013369,              0.0013369,              0.0013369
                     43,                0.53653,                 7.2216,                0.44417,                0.43965,                 1.0876,                0.98793,                      1,                  0.995,                0.90157,                 0.1283,                  0.125,                0.03905,                0.00853,                0.50324,                 7.7159,                0.19066,                0.47263,                 1.0687,              0.0013287,              0.0013287,              0.0013287
                     44,                0.57249,                 7.2605,                0.44297,                0.45171,                 1.0967,                0.99665,                      1,                  0.995,                0.87341,                0.05063,                   0.05,                0.00924,                0.00345,                0.64423,                 8.1562,                0.18787,                 0.4857,                 1.3375,              0.0013204,              0.0013204,              0.0013204
                     45,                0.51168,                 7.0865,                0.45989,                0.42744,                 1.0746,                0.99143,                      1,                  0.995,                0.91693,                 0.0499,                   0.05,                0.00762,                0.00257,                0.43454,                 7.7379,                0.23851,                0.40472,                 1.0257,              0.0013122,              0.0013122,              0.0013122
                     46,                 0.5602,                 7.3263,                0.45356,                0.45623,                 1.1201,                0.99275,                      1,                  0.995,                 0.8874,                  0.075,                  0.075,                0.02693,                0.00765,                0.52479,                 7.9427,                0.24208,                0.42169,                 1.1102,              0.0013039,              0.0013039,              0.0013039
                     47,                0.57041,                 7.0297,                0.42682,                0.43904,                  1.107,                0.99806,                      1,                  0.995,                0.90749,                0.16127,                  0.125,                0.13562,                0.02873,                0.51258,                  7.704,                0.20919,                0.37919,                 1.0897,              0.0012957,              0.0012957,              0.0012957
                     48,                0.50646,                 6.8421,                0.42404,                0.41095,                 1.0623,                0.99861,                      1,                  0.995,                0.89592,                0.12496,                  0.125,                0.06302,                0.01058,                0.57114,                 7.5767,                0.17805,                0.37611,                 1.1668,              0.0012874,              0.0012874,              0.0012874
                     49,                0.50026,                 6.8206,                0.44516,                0.40526,                 1.0659,                 0.9986,                      1,                  0.995,                0.90625,                0.12496,                  0.125,                0.04605,                0.01661,                0.47866,                 7.4999,                  0.196,                0.36125,                 1.0466,              0.0012792,              0.0012792,              0.0012792
                     50,                0.50243,                 7.0347,                0.45031,                0.40422,                 1.0797,                0.99856,                      1,                  0.995,                0.89742,                 0.1249,                  0.125,                0.05379,                0.02353,                0.46863,                 7.3214,                0.19241,                 0.3636,                 1.0449,              0.0012709,              0.0012709,              0.0012709
                     51,                 0.4907,                 6.7485,                0.45746,                0.39771,                 1.0638,                0.99641,                      1,                  0.995,                0.90815,                0.13499,                  0.125,                0.05629,                0.01541,                0.46426,                 7.3896,                0.22414,                0.37484,                 1.0384,              0.0012627,              0.0012627,              0.0012627
                     52,                0.52194,                 6.7807,                 0.4522,                0.41198,                 1.0863,                0.99686,                      1,                  0.995,                0.90893,                0.12929,                  0.125,                0.04348,                0.01886,                0.48303,                 7.4018,                0.22454,                0.37582,                 1.0963,              0.0012544,              0.0012544,              0.0012544
                     53,                0.53499,                 6.8257,                0.41337,                0.41532,                 1.0837,                0.99823,                      1,                  0.995,                0.90494,                0.12644,                  0.125,                0.05638,                0.02803,                 0.4858,                 7.1989,                0.19885,                0.34702,                 1.1078,              0.0012462,              0.0012462,              0.0012462
                     54,                0.47367,                  6.869,                0.44444,                0.40501,                 1.0571,                  0.997,                      1,                  0.995,                0.90303,                 0.1435,                  0.125,                  0.082,                0.04035,                0.46858,                 7.0926,                0.22169,                0.37134,                  1.093,              0.0012379,              0.0012379,              0.0012379
                     55,                0.51719,                 6.7816,                0.44033,                0.40937,                 1.0919,                 0.9986,                      1,                  0.995,                0.91294,                0.12498,                  0.125,                 0.0893,                 0.0369,                0.47952,                 7.0068,                0.22169,                0.36843,                 1.0692,              0.0012297,              0.0012297,              0.0012297
                     56,                 0.4756,                  6.718,                0.44351,                0.39045,                 1.0302,                0.99861,                      1,                  0.995,                 0.9231,                0.12493,                  0.125,                 0.0285,                0.01081,                0.44971,                 7.2053,                0.25361,                0.34821,                 1.0276,              0.0012214,              0.0012214,              0.0012214
                     57,                 0.4922,                 6.8174,                0.45697,                0.39311,                 1.0888,                0.99843,                      1,                  0.995,                0.92781,                0.09989,                    0.1,                0.01714,                0.00627,                0.42295,                  7.447,                0.27615,                0.33675,                 1.0115,              0.0012132,              0.0012132,              0.0012132
                     58,                 0.4866,                 6.8133,                0.43915,                0.39997,                 1.0669,                0.99838,                      1,                  0.995,                0.91205,                0.12482,                  0.125,                0.02798,                0.01575,                0.38163,                 7.0625,                0.24658,                0.32287,                 0.9839,              0.0012049,              0.0012049,              0.0012049
                     59,                0.49304,                 6.6719,                0.42662,                0.39741,                 1.0748,                0.99854,                      1,                  0.995,                 0.9086,                0.12485,                  0.125,                 0.0256,                0.01167,                0.41144,                 6.9506,                0.23171,                0.33992,                 1.0131,              0.0011967,              0.0011967,              0.0011967
                     60,                0.52572,                 6.9952,                0.43625,                0.39246,                 1.0765,                0.99848,                      1,                  0.995,                0.90871,                0.12495,                  0.125,                0.03649,                0.01739,                0.40369,                 6.9442,                0.23673,                 0.3447,                 1.0087,              0.0011884,              0.0011884,              0.0011884
                     61,                0.47115,                 6.4445,                 0.4132,                0.38741,                 1.0543,                 0.9981,                      1,                  0.995,                0.92324,                0.12494,                  0.125,                0.04651,                 0.0227,                0.37933,                 6.9622,                0.23749,                0.31379,                0.97269,              0.0011802,              0.0011802,              0.0011802
                     62,                0.50805,                 6.6953,                0.42778,                 0.4002,                 1.0587,                0.99856,                      1,                  0.995,                0.92862,                0.12493,                  0.125,                0.04914,                 0.0204,                0.39107,                  7.132,                0.20831,                0.28984,                0.97102,              0.0011719,              0.0011719,              0.0011719
                     63,                0.48969,                 6.4406,                0.41303,                0.37687,                 1.0701,                 0.9985,                      1,                  0.995,                0.91906,                0.09989,                    0.1,                0.03202,                0.01735,                0.37259,                   6.89,                0.20658,                0.29028,                0.96286,              0.0011636,              0.0011636,              0.0011636
                     64,                0.47839,                  6.471,                0.42914,                0.37046,                 1.0576,                0.99863,                      1,                  0.995,                0.93282,                0.12482,                  0.125,                0.03894,                0.01334,                0.40283,                 7.0595,                0.22881,                0.29867,                0.97556,              0.0011554,              0.0011554,              0.0011554
                     65,                0.49555,                 6.4396,                 0.4346,                0.37537,                 1.0619,                0.99861,                      1,                  0.995,                0.91921,                0.12484,                  0.125,                0.03909,                0.01952,                0.42831,                 6.8763,                0.19722,                0.30186,                0.99139,              0.0011471,              0.0011471,              0.0011471
                     66,                 0.5175,                 6.9074,                0.42266,                 0.3986,                 1.0681,                0.99862,                      1,                  0.995,                0.89655,                0.12486,                  0.125,                0.03499,                0.01323,                0.49673,                 6.8175,                0.19578,                0.38131,                 1.0728,              0.0011389,              0.0011389,              0.0011389
                     67,                 0.5188,                 6.2131,                0.42762,                0.40727,                  1.065,                0.99798,                      1,                  0.995,                0.91368,                0.12484,                  0.125,                0.02524,                0.01314,                0.46652,                 6.8794,                0.19607,                0.37888,                 1.0553,              0.0011306,              0.0011306,              0.0011306
                     68,                0.50099,                 6.3977,                0.40673,                0.39127,                 1.0586,                0.99864,                      1,                  0.995,                0.90588,                 0.1249,                  0.125,                0.05788,                 0.0243,                0.45892,                 6.8937,                0.19443,                0.33956,                 1.0454,              0.0011224,              0.0011224,              0.0011224
                     69,                0.46323,                  6.246,                0.42447,                0.36062,                 1.0373,                0.99864,                      1,                  0.995,                0.89613,                0.12589,                  0.125,                0.08123,                0.04221,                 0.4572,                 6.7309,                 0.2279,                0.32996,                 1.0424,              0.0011141,              0.0011141,              0.0011141
                     70,                0.48961,                 6.4623,                0.41113,                0.37239,                 1.0484,                 0.9986,                      1,                  0.995,                0.89798,                0.12495,                  0.125,                0.04626,                0.02863,                0.52063,                 6.6192,                0.20369,                0.34503,                  1.097,              0.0011059,              0.0011059,              0.0011059
                     71,                0.49446,                 6.1573,                0.40932,                0.38191,                 1.0522,                0.99862,                      1,                  0.995,                0.91074,                 0.1249,                  0.125,                0.05075,                0.03615,                 0.4496,                 6.5525,                0.20158,                0.34269,                 1.0541,              0.0010976,              0.0010976,              0.0010976
                     72,                0.51816,                 6.5483,                0.41387,                0.38879,                 1.0831,                0.99866,                      1,                  0.995,                0.91523,                0.12491,                  0.125,                0.06164,                0.03531,                0.45125,                 6.7163,                0.18495,                0.33006,                 1.0632,              0.0010894,              0.0010894,              0.0010894
                     73,                0.47518,                 6.1767,                0.40688,                0.37204,                  1.069,                0.99866,                      1,                  0.995,                0.92005,                0.12495,                  0.125,                0.09391,                 0.0672,                0.44631,                 6.5749,                 0.1815,                0.32404,                 1.0435,              0.0010811,              0.0010811,              0.0010811
                     74,                0.48362,                 6.3399,                0.40395,                0.36919,                 1.0503,                0.99856,                      1,                  0.995,                0.91708,                0.12492,                  0.125,                0.04852,                0.03056,                0.43525,                 6.6422,                0.19951,                0.31869,                  1.025,              0.0010729,              0.0010729,              0.0010729
                     75,                0.48371,                 6.1586,                  0.398,                 0.3722,                 1.0779,                0.99858,                      1,                  0.995,                0.89684,                0.12491,                  0.125,                0.03512,                0.01851,                0.48164,                 6.5439,                0.18679,                0.33565,                 1.0738,              0.0010646,              0.0010646,              0.0010646
