                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 0.4865,                 6.1714,                0.41604,                0.37765,                  1.077,                0.99858,                      1,                  0.995,                0.91244,                0.12492,                  0.125,                0.05188,                0.02951,                0.45485,                 6.4594,                0.19556,                0.32934,                 1.0624,              0.0010564,              0.0010564,              0.0010564
                     77,                0.45343,                 6.0774,                0.41946,                0.35968,                 1.0527,                 0.9986,                      1,                  0.995,                 0.9091,                0.12491,                  0.125,                0.05729,                  0.032,                0.43712,                 6.5604,                0.17694,                0.31124,                 1.0571,              0.0010481,              0.0010481,              0.0010481
                     78,                0.47359,                 6.1769,                0.42142,                0.36325,                 1.0367,                0.99865,                      1,                  0.995,                0.91432,                0.12492,                  0.125,                0.09132,                0.06096,                0.41696,                 6.6592,                0.16164,                0.31302,                 1.0226,              0.0010399,              0.0010399,              0.0010399
                     79,                0.49417,                 6.2022,                0.42602,                0.37176,                 1.0479,                0.99861,                      1,                  0.995,                 0.9048,                0.13389,                  0.125,                0.11181,                0.05531,                0.47114,                  6.594,                0.16789,                 0.3541,                 1.0515,              0.0010316,              0.0010316,              0.0010316
                     80,                0.45311,                 5.9942,                0.41014,                0.35722,                 1.0317,                0.99857,                      1,                  0.995,                0.91873,                 0.1365,                  0.125,                0.09747,                0.06169,                0.40606,                 6.3415,                 0.1973,                 0.3179,                 1.0065,              0.0010234,              0.0010234,              0.0010234
                     81,                0.46191,                 6.2374,                0.43053,                0.35316,                 1.0336,                 0.9986,                      1,                  0.995,                0.94177,                 0.1274,                  0.125,                 0.0797,                0.05168,                0.37813,                 6.6049,                0.21929,                0.28971,                0.97107,              0.0010151,              0.0010151,              0.0010151
                     82,                0.50356,                 6.3699,                 0.4054,                0.39662,                 1.0768,                0.99842,                      1,                  0.995,                0.91548,                0.12878,                  0.125,                0.05322,                0.03107,                0.41632,                 6.6193,                0.22824,                0.30045,                0.98962,              0.0010069,              0.0010069,              0.0010069
                     83,                0.46596,                  5.902,                 0.4081,                0.36262,                 1.0612,                0.99807,                      1,                  0.995,                  0.914,                0.17488,                  0.175,                0.09098,                0.04037,                0.44615,                 6.4703,                0.23193,                0.33878,                 1.0211,             0.00099862,             0.00099862,             0.00099862
                     84,                0.46393,                 6.0062,                0.41629,                0.34843,                 1.0437,                0.99817,                      1,                  0.995,                0.91847,                0.17489,                  0.175,                0.09154,                0.04525,                 0.4587,                 6.3625,                0.22216,                0.33252,                 1.0803,             0.00099036,             0.00099036,             0.00099036
                     85,                0.43065,                 5.9508,                0.40853,                0.34292,                 1.0116,                0.99835,                      1,                  0.995,                0.91835,                0.12496,                  0.125,                0.06941,                0.04332,                0.48012,                 6.5278,                0.23027,                0.32973,                 1.1152,             0.00098211,             0.00098211,             0.00098211
                     86,                0.48426,                 5.9042,                0.42675,                0.36416,                 1.0523,                0.99815,                      1,                  0.995,                0.90712,                0.12498,                  0.125,                0.07848,                  0.043,                0.46819,                 6.5517,                0.23786,                0.34418,                 1.0885,             0.00097386,             0.00097386,             0.00097386
                     87,                0.45674,                 5.7589,                0.39842,                 0.3567,                 1.0253,                0.99854,                      1,                  0.995,                0.90941,                0.12499,                  0.125,                0.08541,                0.04383,                0.44532,                 6.4843,                0.22214,                0.35417,                 1.0456,             0.00096561,             0.00096561,             0.00096561
                     88,                0.46681,                 6.2318,                0.41039,                0.34446,                 1.0479,                0.99864,                      1,                  0.995,                0.92128,                0.12483,                  0.125,                0.04471,                0.02977,                0.47483,                 6.5091,                0.21441,                0.35823,                 1.0621,             0.00095736,             0.00095736,             0.00095736
                     89,                0.47761,                 5.7172,                0.40288,                0.36014,                 1.0578,                0.99863,                      1,                  0.995,                0.93032,                0.24965,                   0.25,                0.09345,                0.02788,                0.42327,                  6.461,                0.23977,                0.31891,                 1.0119,             0.00094911,             0.00094911,             0.00094911
                     90,                0.45579,                 5.9283,                 0.4238,                0.35114,                 1.0356,                0.99856,                      1,                  0.995,                 0.9213,                0.19971,                    0.2,                 0.0914,                0.02865,                0.37308,                 6.2768,                0.23773,                0.31369,                0.96776,             0.00094085,             0.00094085,             0.00094085
                     91,                0.45119,                 5.7039,                0.42731,                 0.3494,                 1.0585,                0.99861,                      1,                  0.995,                0.93748,                0.12482,                  0.125,                0.04048,                0.02626,                0.37729,                 6.3123,                 0.2241,                0.27388,                0.96182,              0.0009326,              0.0009326,              0.0009326
                     92,                0.42699,                 5.7602,                0.39967,                0.33836,                 1.0269,                0.99864,                      1,                  0.995,                0.91859,                0.22485,                  0.225,                0.15753,                0.04016,                0.42602,                 6.4327,                0.20528,                0.32588,                  1.008,             0.00092435,             0.00092435,             0.00092435
                     93,                0.43829,                 5.8115,                0.40049,                0.34697,                 1.0136,                0.99864,                      1,                  0.995,                0.92689,                0.17488,                  0.175,                0.13413,                0.04128,                 0.4583,                  6.441,                0.19863,                0.31513,                 1.0214,              0.0009161,              0.0009161,              0.0009161
                     94,                0.42972,                 5.6285,                0.40309,                0.33627,                 1.0132,                0.99863,                      1,                  0.995,                  0.917,                0.12495,                  0.125,                0.08783,                0.05484,                0.42673,                 6.4167,                0.20143,                  0.346,                0.99875,             0.00090785,             0.00090785,             0.00090785
                     95,                0.44673,                 5.9927,                0.42586,                0.34463,                  1.033,                0.99857,                      1,                  0.995,                0.91894,                0.14602,                0.14962,                0.11463,                0.06214,                0.40608,                 6.3862,                0.20977,                0.31499,                0.97728,              0.0008996,              0.0008996,              0.0008996
                     96,                0.43209,                 5.4685,                0.39223,                0.33987,                 1.0386,                0.99854,                      1,                  0.995,                0.94961,                0.19989,                    0.2,                0.12867,                0.06211,                0.38869,                 6.2105,                 0.1821,                0.27815,                0.96881,             0.00089134,             0.00089134,             0.00089134
                     97,                0.45895,                 5.9151,                0.40659,                0.35996,                  1.044,                0.99846,                      1,                  0.995,                0.93142,                0.27489,                  0.275,                0.22482,                0.06212,                0.38823,                  6.195,                0.16807,                0.27511,                0.96915,             0.00088309,             0.00088309,             0.00088309
                     98,                 0.4482,                 5.7865,                0.38977,                0.33164,                 1.0276,                0.99864,                      1,                  0.995,                0.92128,                0.27478,                  0.275,                0.16469,                0.04791,                0.41206,                 6.1787,                0.16148,                0.29388,                0.99855,             0.00087484,             0.00087484,             0.00087484
                     99,                 0.4301,                 5.6751,                0.40913,                0.33486,                 1.0253,                0.99863,                      1,                  0.995,                0.92645,                0.14988,                   0.15,                0.06312,                0.03126,                0.43128,                 6.1777,                0.16841,                 0.3113,                  1.019,             0.00086659,             0.00086659,             0.00086659
                    100,                0.44603,                  5.783,                0.39399,                0.33351,                 1.0396,                0.99864,                      1,                  0.995,                0.92847,                0.27462,                  0.275,                0.11897,                 0.0399,                 0.3781,                 6.0565,                0.17435,                0.27351,                0.97646,             0.00085834,             0.00085834,             0.00085834
